     #Energy         O_s         O_p        Mo_s        Mo_p        Mo_d        Nb_s        Nb_p        Nb_d
   -61.07211     0.00010     0.00011   179.12580     0.01169     0.02019     0.00115     0.00023     0.00009
   -61.04811     0.00011     0.00012   193.75780     0.01248     0.02222     0.00121     0.00024     0.00010
   -61.02511     0.00011     0.00012   206.61460     0.01314     0.02402     0.00125     0.00026     0.00011
   -61.00211     0.00011     0.00012   217.29480     0.01364     0.02554     0.00128     0.00027     0.00011
   -60.97911     0.00011     0.00012   225.48200     0.01398     0.02670     0.00128     0.00027     0.00012
   -60.95611     0.00010     0.00012   230.99100     0.01416     0.02746     0.00127     0.00027     0.00012
   -60.93211     0.00010     0.00011   233.70900     0.01417     0.02781     0.00124     0.00027     0.00012
   -60.90911     0.00009     0.00010   233.66000     0.01404     0.02773     0.00118     0.00026     0.00012
   -60.88611     0.00008     0.00010   230.96600     0.01376     0.02726     0.00112     0.00024     0.00011
   -60.86311     0.00007     0.00009   225.83300     0.01336     0.02641     0.00103     0.00023     0.00011
   -60.84011     0.00006     0.00008   218.52300     0.01285     0.02526     0.00094     0.00021     0.00010
   -60.81711     0.00005     0.00007   209.33600     0.01226     0.02385     0.00085     0.00018     0.00009
   -60.79311     0.00005     0.00006   198.55800     0.01160     0.02225     0.00075     0.00016     0.00008
   -60.77011     0.00004     0.00005   186.48100     0.01088     0.02052     0.00065     0.00014     0.00007
   -60.74711     0.00003     0.00004   173.35550     0.01012     0.01871     0.00055     0.00012     0.00006
   -60.72411     0.00003     0.00004   159.43300     0.00932     0.01687     0.00046     0.00010     0.00005
   -60.70111     0.00002     0.00003   144.93460     0.00849     0.01504     0.00038     0.00008     0.00004
   -60.67811     0.00002     0.00003   130.11440     0.00764     0.01325     0.00031     0.00007     0.00003
   -60.65411     0.00001     0.00002   115.20770     0.00679     0.01152     0.00025     0.00005     0.00003
   -60.63111     0.00001     0.00002   100.48630     0.00594     0.00989     0.00020     0.00004     0.00002
   -60.60811     0.00001     0.00001    86.22760     0.00512     0.00836     0.00016     0.00003     0.00002
   -60.58511     0.00001     0.00001    72.69895     0.00433     0.00696     0.00012     0.00003     0.00001
   -60.56211     0.00000     0.00001    60.14998     0.00360     0.00569     0.00009     0.00002     0.00001
   -60.53811     0.00000     0.00001    48.78639     0.00293     0.00457     0.00007     0.00001     0.00001
