     #Energy         O_s         O_p        Mo_s        Mo_p        Mo_d        Nb_s        Nb_p        Nb_d
   -61.67974     0.00000     0.00000     0.02500     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.65674     0.00000     0.00000     0.04619     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.63374     0.00000     0.00000     0.08335     0.00001     0.00000     0.00000     0.00000     0.00000
   -61.61074     0.00000     0.00000     0.14686     0.00001     0.00001     0.00000     0.00000     0.00000
   -61.58674     0.00000     0.00000     0.25276     0.00002     0.00001     0.00000     0.00000     0.00000
   -61.56374     0.00000     0.00000     0.42496     0.00003     0.00002     0.00000     0.00000     0.00000
   -61.54074     0.00000     0.00000     0.69819     0.00005     0.00003     0.00001     0.00000     0.00000
   -61.51774     0.00000     0.00000     1.12109     0.00008     0.00006     0.00001     0.00000     0.00000
   -61.49374     0.00000     0.00000     1.75960     0.00012     0.00010     0.00001     0.00000     0.00000
   -61.47074     0.00000     0.00000     2.70034     0.00019     0.00016     0.00002     0.00000     0.00000
   -61.44774     0.00000     0.00000     4.05288     0.00029     0.00025     0.00003     0.00000     0.00000
   -61.42474     0.00001     0.00001     5.95020     0.00042     0.00038     0.00004     0.00001     0.00000
   -61.40074     0.00001     0.00001     8.54746     0.00061     0.00057     0.00006     0.00001     0.00000
   -61.37774     0.00001     0.00001    12.01803     0.00085     0.00084     0.00008     0.00001     0.00000
   -61.35474     0.00002     0.00002    16.54364     0.00117     0.00120     0.00011     0.00001     0.00000
   -61.33174     0.00003     0.00003    22.30428     0.00157     0.00169     0.00015     0.00002     0.00000
   -61.30774     0.00004     0.00003    29.46596     0.00206     0.00233     0.00019     0.00003     0.00001
   -61.28474     0.00005     0.00005    38.14916     0.00265     0.00313     0.00024     0.00003     0.00001
   -61.26174     0.00006     0.00006    48.43562     0.00333     0.00413     0.00029     0.00004     0.00001
   -61.23874     0.00008     0.00007    60.32826     0.00411     0.00533     0.00036     0.00006     0.00002
   -61.21574     0.00009     0.00009    73.74888     0.00497     0.00674     0.00043     0.00007     0.00002
   -61.19174     0.00011     0.00011    88.53806     0.00589     0.00836     0.00051     0.00009     0.00003
   -61.16874     0.00013     0.00013   104.42569     0.00685     0.01015     0.00060     0.00010     0.00004
   -61.14574     0.00015     0.00015   121.07090     0.00783     0.01210     0.00069     0.00012     0.00004
   -61.12274     0.00017     0.00018   138.05540     0.00880     0.01414     0.00078     0.00014     0.00005
   -61.09874     0.00019     0.00020   154.90170     0.00972     0.01622     0.00088     0.00017     0.00006
   -61.07574     0.00020     0.00022   171.09510     0.01057     0.01826     0.00098     0.00019     0.00008
   -61.05274     0.00021     0.00023   186.13510     0.01133     0.02020     0.00107     0.00021     0.00009
   -61.02974     0.00022     0.00025   199.52820     0.01196     0.02194     0.00116     0.00024     0.00010
   -61.00574     0.00023     0.00026   210.85300     0.01246     0.02343     0.00124     0.00026     0.00011
   -60.98274     0.00023     0.00026   219.75140     0.01281     0.02459     0.00132     0.00028     0.00012
   -60.95974     0.00022     0.00026   225.99100     0.01301     0.02538     0.00138     0.00029     0.00013
   -60.93674     0.00021     0.00025   229.44100     0.01306     0.02578     0.00142     0.00030     0.00013
   -60.91274     0.00020     0.00024   230.09800     0.01297     0.02578     0.00144     0.00031     0.00014
   -60.88974     0.00019     0.00023   228.06700     0.01275     0.02540     0.00144     0.00031     0.00014
   -60.86674     0.00017     0.00021   223.56000     0.01242     0.02467     0.00142     0.00030     0.00014
   -60.84374     0.00015     0.00019   216.84400     0.01199     0.02364     0.00137     0.00029     0.00013
   -60.81974     0.00013     0.00017   208.21100     0.01148     0.02236     0.00131     0.00028     0.00013
   -60.79674     0.00011     0.00014   197.98200     0.01090     0.02090     0.00123     0.00026     0.00012
   -60.77374     0.00009     0.00012   186.44410     0.01027     0.01931     0.00114     0.00024     0.00011
   -60.75074     0.00007     0.00010   173.85780     0.00959     0.01765     0.00104     0.00021     0.00010
   -60.72674     0.00006     0.00008   160.47170     0.00888     0.01595     0.00093     0.00019     0.00009
   -60.70374     0.00004     0.00006   146.49980     0.00814     0.01427     0.00082     0.00017     0.00008
   -60.68074     0.00003     0.00005   132.15200     0.00738     0.01261     0.00072     0.00014     0.00007
   -60.65774     0.00003     0.00004   117.66350     0.00661     0.01102     0.00061     0.00012     0.00006
   -60.63374     0.00002     0.00003   103.26700     0.00583     0.00950     0.00052     0.00010     0.00005
   -60.61074     0.00001     0.00002    89.22060     0.00507     0.00808     0.00043     0.00008     0.00004
   -60.58774     0.00001     0.00001    75.78281     0.00433     0.00677     0.00035     0.00007     0.00003
   -60.56474     0.00001     0.00001    63.20171     0.00364     0.00558     0.00028     0.00005     0.00002
   -60.54074     0.00000     0.00001    51.69676     0.00299     0.00451     0.00022     0.00004     0.00002
   -60.51774     0.00000     0.00000    41.42769     0.00241     0.00359     0.00017     0.00003     0.00001
   -60.49474     0.00000     0.00000    32.49465     0.00190     0.00279     0.00013     0.00002     0.00001
   -60.47174     0.00000     0.00000    24.92775     0.00147     0.00213     0.00010     0.00002     0.00001
   -60.44774     0.00000     0.00000    18.69377     0.00111     0.00159     0.00007     0.00001     0.00001
   -60.42474     0.00000     0.00000    13.69193     0.00082     0.00116     0.00005     0.00001     0.00000
   -60.40174     0.00000     0.00000     9.79147     0.00059     0.00083     0.00004     0.00001     0.00000
   -60.37874     0.00000     0.00000     6.83411     0.00041     0.00058     0.00003     0.00000     0.00000
   -60.35474     0.00000     0.00000     4.65374     0.00028     0.00039     0.00002     0.00000     0.00000
   -60.33174     0.00000     0.00000     3.09109     0.00019     0.00026     0.00001     0.00000     0.00000
   -60.30874     0.00000     0.00000     2.00217     0.00012     0.00017     0.00001     0.00000     0.00000
   -60.28574     0.00000     0.00000     1.26436     0.00008     0.00011     0.00000     0.00000     0.00000
   -60.26174     0.00000     0.00000     0.77842     0.00005     0.00007     0.00000     0.00000     0.00000
   -60.23874     0.00000     0.00000     0.46710     0.00003     0.00004     0.00000     0.00000     0.00000
   -60.21574     0.00000     0.00000     0.27320     0.00002     0.00002     0.00000     0.00000     0.00000
   -60.19274     0.00000     0.00000     0.15571     0.00001     0.00001     0.00000     0.00000     0.00000
   -60.16874     0.00000     0.00000     0.08650     0.00001     0.00001     0.00000     0.00000     0.00000
   -60.14574     0.00000     0.00000     0.04682     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.12274     0.00000     0.00000     0.02469     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.09974     0.00000     0.00000     0.01269     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.07574     0.00000     0.00000     0.00635     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.05274     0.00000     0.00000     0.00310     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.02974     0.00000     0.00000     0.00147     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.00674     0.00000     0.00000     0.00068     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.98274     0.00000     0.00000     0.00031     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.95974     0.00000     0.00000     0.00014     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.93674     0.00000     0.00000     0.00006     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.91374     0.00000     0.00000     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.89074     0.00000     0.00000     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.86674     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.84374     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.82074     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.79774     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.77374     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.75074     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.72774     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.70474     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.68074     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.65774     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.63474     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.61174     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.58774     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.56474     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.54174     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.51874     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.49474     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.47174     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.44874     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.42574     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.40174     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.37874     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.35574     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.33274     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.30874     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.28574     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.26274     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.23974     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.21574     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.19274     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.16974     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.14674     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.12274     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.09974     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.07674     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.05374     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.02974     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.00674     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.98374     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.96074     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.93674     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.91374     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.89074     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.86774     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.84374     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.82074     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.79774     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.77474     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.75074     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.72774     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.70474     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.68174     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.65774     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.63474     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.61174     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.58874     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.56574     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.54174     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.51874     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.49574     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.47274     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.44874     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.42574     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.40274     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.37974     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.35574     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.33274     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.30974     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.28674     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.26274     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.23974     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.21674     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.19374     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.16974     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.14674     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.12374     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.10074     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.07674     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.05374     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.03074     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.00774     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.98374     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.96074     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.93774     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.91474     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.89074     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.86774     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.84474     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.82174     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.79774     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.77474     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.75174     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.72874     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.70474     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.68174     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.65874     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.63574     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.61174     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.58874     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
