     #Energy         O_s         O_p        Mo_s        Mo_p        Mo_d
   -62.02717     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.00417     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.98117     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.95817     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.93417     0.00000     0.00000     0.00001     0.00000     0.00000
   -61.91117     0.00000     0.00000     0.00002     0.00000     0.00000
   -61.88817     0.00000     0.00000     0.00005     0.00000     0.00000
   -61.86517     0.00000     0.00000     0.00012     0.00000     0.00000
   -61.84217     0.00000     0.00000     0.00027     0.00000     0.00000
   -61.81917     0.00000     0.00000     0.00058     0.00000     0.00000
   -61.79517     0.00000     0.00000     0.00121     0.00000     0.00000
   -61.77217     0.00000     0.00000     0.00249     0.00000     0.00000
   -61.74917     0.00000     0.00000     0.00498     0.00000     0.00000
   -61.72617     0.00000     0.00000     0.00972     0.00000     0.00000
   -61.70317     0.00000     0.00000     0.01854     0.00000     0.00000
   -61.67917     0.00000     0.00000     0.03451     0.00000     0.00000
   -61.65617     0.00000     0.00000     0.06273     0.00000     0.00000
   -61.63317     0.00000     0.00000     0.11139     0.00001     0.00001
   -61.61017     0.00000     0.00000     0.19321     0.00002     0.00001
   -61.58717     0.00000     0.00000     0.32754     0.00003     0.00002
   -61.56417     0.00000     0.00000     0.54265     0.00004     0.00003
   -61.54017     0.00000     0.00000     0.87878     0.00007     0.00005
   -61.51717     0.00000     0.00000     1.39181     0.00011     0.00008
   -61.49417     0.00000     0.00000     2.15579     0.00017     0.00013
   -61.47117     0.00001     0.00000     3.26736     0.00026     0.00021
   -61.44817     0.00001     0.00000     4.84425     0.00039     0.00032
   -61.42417     0.00001     0.00001     7.03196     0.00056     0.00048
   -61.40117     0.00002     0.00001     9.99564     0.00080     0.00071
   -61.37817     0.00003     0.00001    13.91589     0.00111     0.00104
   -61.35517     0.00004     0.00002    18.98094     0.00150     0.00147
   -61.33217     0.00005     0.00002    25.38018     0.00199     0.00205
   -61.30917     0.00006     0.00003    33.27617     0.00258     0.00279
   -61.28517     0.00008     0.00004    42.79157     0.00328     0.00372
   -61.26217     0.00009     0.00005    54.01083     0.00409     0.00487
   -61.23917     0.00011     0.00006    66.93133     0.00500     0.00625
   -61.21617     0.00013     0.00008    81.46631     0.00599     0.00786
   -61.19317     0.00015     0.00010    97.44638     0.00705     0.00970
   -61.16917     0.00017     0.00012   114.59220     0.00814     0.01174
   -61.14617     0.00019     0.00015   132.52130     0.00925     0.01395
   -61.12317     0.00021     0.00018   150.79000     0.01033     0.01627
   -61.10017     0.00022     0.00021   168.88680     0.01135     0.01863
   -61.07717     0.00023     0.00024   186.21940     0.01227     0.02094
   -61.05417     0.00024     0.00027   202.21460     0.01307     0.02312
   -61.03017     0.00025     0.00030   216.30430     0.01371     0.02506
   -61.00717     0.00025     0.00032   227.98550     0.01419     0.02668
   -60.98417     0.00025     0.00034   236.84200     0.01448     0.02790
   -60.96117     0.00025     0.00036   242.56290     0.01458     0.02867
   -60.93817     0.00024     0.00036   245.01300     0.01450     0.02896
   -60.91417     0.00023     0.00036   244.23600     0.01426     0.02877
   -60.89117     0.00022     0.00035   240.37800     0.01386     0.02812
   -60.86817     0.00021     0.00034   233.75300     0.01334     0.02706
   -60.84517     0.00019     0.00032   224.76700     0.01272     0.02566
   -60.82217     0.00018     0.00029   213.86500     0.01203     0.02401
   -60.79917     0.00016     0.00026   201.51700     0.01130     0.02218
   -60.77517     0.00014     0.00022   188.13100     0.01053     0.02027
   -60.75217     0.00013     0.00019   174.08110     0.00976     0.01834
   -60.72917     0.00011     0.00016   159.66020     0.00898     0.01644
   -60.70617     0.00009     0.00013   145.07430     0.00820     0.01461
   -60.68317     0.00008     0.00010   130.53020     0.00743     0.01288
   -60.65917     0.00006     0.00008   116.16020     0.00667     0.01125
   -60.63617     0.00005     0.00006   102.12990     0.00591     0.00974
   -60.61317     0.00004     0.00005    88.57840     0.00518     0.00834
   -60.59017     0.00003     0.00003    75.67387     0.00447     0.00705
   -60.56717     0.00002     0.00002    63.59425     0.00380     0.00589
   -60.54417     0.00002     0.00002    52.49801     0.00317     0.00484
   -60.52017     0.00001     0.00001    42.51555     0.00259     0.00391
