     #Energy        Mo_s        Mo_p        Mo_d         O_s         O_p
    -3.91386    11.37877     3.91657    68.70576     0.00362     0.16469
    -3.68086    13.65336     5.65526    96.48619     0.00919     0.28927
    -3.44786    13.92994     5.46675   105.26999     0.00445     0.31220
    -3.21586     6.73114     3.57417    62.09037     0.00312     0.24329
    -2.98286     6.22223     5.92787   144.42030     0.00191     0.31068
    -2.75086     3.28776     6.72670   155.48846     0.00356     0.55967
    -2.51786     1.27523     4.42854    90.13304     0.00225     0.19214
    -2.28586     3.33318     5.43818   121.98371     0.00488     0.24390
    -2.05286     3.29871     5.48143    84.64630     0.00462     0.26572
    -1.81986     4.10415     7.18087    92.68218     0.00284     0.35670
    -1.58786     3.44991     7.21407    87.71263     0.00289     0.24214
    -1.35486     3.63701     7.76132    80.31448     0.00297     0.24182
    -1.12286     2.46922     8.35271    75.96646     0.00869     0.72208
    -0.88986     1.44272     3.88936    41.31120     0.00300     0.31036
    -0.65686     1.25424     3.31174    54.73242     0.00437     0.11865
    -0.42486     1.88955     5.66684    90.46526     0.00988     0.12351
    -0.19186     1.62379     4.14467    61.87270     0.00318     0.08023
     0.04014     1.36723     3.48932    60.24551     0.00320     0.19039
     0.27314     1.33888     3.87868    77.35192     0.01170     0.27902
     0.50614     1.84033     5.93402    88.57317     0.01249     0.26886
     0.73814     1.03987     2.81995    63.51816     0.00979     0.16648
     0.97114     1.33358     3.08031    85.64778     0.01158     0.49508
     1.20314     1.34783     3.47363   115.63501     0.00869     0.27572
     1.43614     2.19010     4.20877   140.42580     0.03711     0.30944
     1.66914     2.65091     4.72069   180.26920     0.03695     0.13691
     1.90114     1.61700     3.75730   149.54190     0.03995     0.13066
     2.13414     0.52847     1.15891    50.82551     0.02272     0.08817
     2.36614     0.00000     0.00000     0.00000     0.00000     0.00000
     2.59914     0.00000     0.00000     0.00000     0.00000     0.00000
     2.83214     0.00000     0.00000     0.00000     0.00000     0.00000
     3.06414     0.00000     0.00000     0.00000     0.00000     0.00000
     3.29714     0.00000     0.00000     0.00000     0.00000     0.00000
     3.52914     0.00000     0.00000     0.00000     0.00000     0.00000
     3.76214     0.00000     0.00000     0.00000     0.00000     0.00000
     3.99514     0.00000     0.00000     0.00000     0.00000     0.00000
     4.22714     0.00000     0.00000     0.00000     0.00000     0.00000
     4.46014     0.00000     0.00000     0.00000     0.00000     0.00000
     4.69214     0.00000     0.00000     0.00000     0.00000     0.00000
     4.92514     0.00000     0.00000     0.00000     0.00000     0.00000
     5.15814     0.00000     0.00000     0.00000     0.00000     0.00000
     5.39014     0.00000     0.00000     0.00000     0.00000     0.00000
