Tue Jun 02 09:08:45 2020

Number of Points = 3029
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-21.912369	-4.732497	0.975936	0.004137	0.446140
-22.246264	-4.680319	0.980941	0.004197	0.445895
-22.050045	-4.778215	0.985946	0.004162	0.445788
-22.566337	-4.654149	0.990950	0.004255	0.445571
-22.341964	-4.759770	0.995955	0.004215	0.445472
-22.654473	-4.709811	1.000960	0.004271	0.445246

-22.743712	-4.753484	1.010957	0.004287	0.444965
-23.070149	-4.704069	1.020954	0.004346	0.444718
-23.071297	-4.717964	1.030950	0.004347	0.444664
-23.276248	-4.714160	1.040947	0.004384	0.444407
-23.269701	-4.732481	1.050944	0.004383	0.444346
-23.249413	-4.739244	1.060941	0.004379	0.444347
-23.185904	-4.788139	1.070938	0.004368	0.444247
-23.500649	-4.717505	1.080934	0.004425	0.444095
-23.393801	-4.755915	1.090931	0.004406	0.444092
-23.489614	-4.721791	1.100928	0.004423	0.444093
-23.357582	-4.767707	1.110925	0.004399	0.444094
-23.471464	-4.724071	1.120922	0.004420	0.444107
-23.285781	-4.755053	1.130918	0.004386	0.444235
-23.250588	-4.738216	1.140915	0.004380	0.444344
-23.233472	-4.743265	1.150912	0.004377	0.444347
-23.456254	-4.663429	1.160909	0.004417	0.444351
-23.253419	-4.735727	1.170906	0.004381	0.444348
-23.449158	-4.668174	1.180902	0.004416	0.444342
-23.113816	-4.715470	1.190899	0.004356	0.444607
-23.142265	-4.692608	1.200896	0.004361	0.444654
-23.131383	-4.696388	1.210893	0.004359	0.444654
-23.078782	-4.714883	1.220890	0.004350	0.444653
-22.932119	-4.716108	1.230886	0.004323	0.444842
-22.863986	-4.708300	1.240883	0.004311	0.444960
-22.906012	-4.694150	1.250880	0.004319	0.444957
-22.909862	-4.693005	1.260877	0.004320	0.444955
-22.700782	-4.704409	1.270874	0.004282	0.445188
-22.696718	-4.679655	1.280870	0.004281	0.445285
-22.537145	-4.735586	1.290867	0.004253	0.445286
-22.591748	-4.715203	1.300864	0.004262	0.445289
-22.482154	-4.721953	1.310861	0.004243	0.445408
-22.322061	-4.728122	1.320858	0.004214	0.445595
-22.306273	-4.733507	1.330854	0.004211	0.445595
-22.391817	-4.703319	1.340851	0.004227	0.445594
-22.318824	-4.712921	1.350848	0.004214	0.445654
-22.149210	-4.704672	1.360845	0.004183	0.445907
-22.113959	-4.716021	1.370842	0.004177	0.445911
-22.225477	-4.677301	1.380838	0.004197	0.445908
-22.026004	-4.684069	1.390835	0.004161	0.446145
-21.982369	-4.680960	1.400832	0.004153	0.446213
-21.758407	-4.757158	1.410829	0.004113	0.446223
-21.917200	-4.702383	1.420826	0.004142	0.446217
-21.730250	-4.689183	1.430822	0.004108	0.446512
-21.766449	-4.666186	1.440819	0.004115	0.446549
