Tue Jun 02 08:54:38 2020

Number of Points = 2985
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-20.149542	-4.305401	1.420826	0.004080	0.458352
-20.238870	-4.266096	1.430822	0.004095	0.458382
-20.028704	-4.261888	1.440819	0.004057	0.458668
-19.966403	-4.285061	1.450816	0.004046	0.458666
-19.967223	-4.285298	1.460813	0.004046	0.458666
-19.621027	-4.348741	1.470810	0.003983	0.458880
-19.599760	-4.322895	1.480806	0.003979	0.459003
-19.617182	-4.318141	1.490803	0.003982	0.459000
-19.639393	-4.310296	1.500800	0.003985	0.459002
-19.704709	-4.276612	1.510797	0.003997	0.459042
-19.510400	-4.288446	1.520794	0.003961	0.459250
-19.488795	-4.298057	1.530790	0.003957	0.459244
-19.453551	-4.312208	1.540787	0.003951	0.459240
-19.360141	-4.264966	1.550784	0.003933	0.459532
-19.236600	-4.301819	1.560781	0.003911	0.459558
-19.164097	-4.328881	1.570778	0.003898	0.459555
-19.152706	-4.312739	1.580774	0.003895	0.459629
-19.014027	-4.301406	1.590771	0.003870	0.459849
-18.904217	-4.338803	1.600768	0.003850	0.459856
-18.845028	-4.361474	1.610765	0.003839	0.459851
-18.808897	-4.374221	1.620762	0.003832	0.459853
-18.624613	-4.381326	1.630758	0.003798	0.460064
-18.699445	-4.322556	1.640755	0.003812	0.460183
-18.725630	-4.312898	1.650752	0.003816	0.460187
-18.818152	-4.281646	1.660749	0.003833	0.460183
-18.698298	-4.241991	1.670746	0.003811	0.460481
-18.445369	-4.330344	1.680742	0.003765	0.460486
-18.336811	-4.370802	1.690739	0.003745	0.460480
-18.407670	-4.326797	1.700736	0.003757	0.460551
-18.155413	-4.349551	1.710733	0.003712	0.460792
-18.056833	-4.382573	1.720730	0.003693	0.460800
-18.189709	-4.336639	1.730726	0.003717	0.460798
-18.060375	-4.382193	1.740723	0.003694	0.460800
-17.942294	-4.385324	1.750720	0.003672	0.460941
-17.956087	-4.335632	1.760717	0.003674	0.461105
-18.083371	-4.290945	1.770714	0.003697	0.461106
-18.077989	-4.283241	1.780710	0.003696	0.461142
-17.679373	-4.343149	1.790707	0.003623	0.461435
-17.750791	-4.317964	1.800704	0.003636	0.461437
-17.760114	-4.313936	1.810701	0.003637	0.461441
-17.635242	-4.320859	1.820698	0.003615	0.461577
-17.471695	-4.332827	1.830694	0.003585	0.461744
-17.478960	-4.331877	1.840691	0.003586	0.461740
-17.692520	-4.258973	1.850688	0.003624	0.461733
-17.398310	-4.281258	1.860685	0.003571	0.462028
-17.312549	-4.305032	1.870682	0.003555	0.462053
-17.286572	-4.315597	1.880678	0.003550	0.462050
-17.224032	-4.305074	1.890675	0.003538	0.462169
-17.068640	-4.308373	1.900672	0.003510	0.462356
-17.074894	-4.306466	1.910669	0.003511	0.462357
-17.008120	-4.329872	1.920666	0.003499	0.462359
-16.848796	-4.331416	1.930662	0.003470	0.462558
-16.711683	-4.344801	1.940659	0.003445	0.462685
-16.805900	-4.311838	1.950656	0.003461	0.462686
-16.695172	-4.350132	1.960653	0.003441	0.462691
-16.732367	-4.320087	1.970650	0.003447	0.462753
-16.590673	-4.305873	1.980646	0.003422	0.462986
-16.604138	-4.300554	1.990643	0.003424	0.462990
-16.715865	-4.261830	2.000640	0.003444	0.462989
-16.335818	-4.308948	2.010637	0.003375	0.463303
-16.355053	-4.300016	2.020634	0.003378	0.463313
-16.240998	-4.340666	2.030630	0.003357	0.463313
-16.279911	-4.328453	2.040627	0.003364	0.463309
-16.035431	-4.337515	2.050624	0.003319	0.463588
-16.240449	-4.255893	2.060621	0.003356	0.463623
-15.964071	-4.353750	2.070618	0.003306	0.463624
-16.093741	-4.301851	2.080614	0.003329	0.463648
-15.681162	-4.361357	2.090611	0.003254	0.463958
-15.793015	-4.322852	2.100608	0.003274	0.463956
-15.728692	-4.346775	2.110605	0.003262	0.463954
-15.845722	-4.305606	2.120602	0.003283	0.463955
-15.600694	-4.363164	2.130598	0.003239	0.464060
-15.617962	-4.317117	2.140595	0.003242	0.464205
-15.762526	-4.267037	2.150592	0.003267	0.464204
-15.674493	-4.272675	2.160589	0.003251	0.464297
-15.329801	-4.332472	2.170586	0.003189	0.464520
-15.486117	-4.279013	2.180582	0.003217	0.464516
-15.338147	-4.332503	2.190579	0.003190	0.464513
-15.287645	-4.273069	2.200576	0.003180	0.464791
-15.115152	-4.325629	2.210573	0.003149	0.464823
-15.205018	-4.294681	2.220570	0.003165	0.464822
-15.036482	-4.324155	2.230566	0.003134	0.464931
-14.989805	-4.281268	2.240563	0.003125	0.465145
-14.905318	-4.309078	2.250560	0.003110	0.465154
-14.917557	-4.305399	2.260557	0.003112	0.465153
-14.742494	-4.327336	2.270554	0.003080	0.465297
-14.760581	-4.279328	2.280550	0.003083	0.465448
-14.548615	-4.354145	2.290547	0.003044	0.465450
-14.813342	-4.261671	2.300544	0.003092	0.465448
-14.446608	-4.329101	2.310541	0.003025	0.465671
-14.420252	-4.311730	2.320538	0.003020	0.465768
-14.453712	-4.299684	2.330534	0.003026	0.465771
-14.353235	-4.334134	2.340531	0.003008	0.465776
-14.235280	-4.324158	2.350528	0.002986	0.465962
-14.062480	-4.353832	2.360525	0.002955	0.466076
-14.227752	-4.295743	2.370522	0.002984	0.466077
-14.174637	-4.315597	2.380518	0.002974	0.466075
-14.066667	-4.311564	2.390515	0.002955	0.466227
-13.738528	-4.377191	2.400512	0.002895	0.466407
-13.863565	-4.332870	2.410509	0.002917	0.466410
-13.983454	-4.290649	2.420506	0.002939	0.466411
-13.892410	-4.287984	2.430502	0.002922	0.466537
-13.689566	-4.308298	2.440499	0.002885	0.466722
-13.789216	-4.274396	2.450496	0.002903	0.466719
-13.654056	-4.323920	2.460493	0.002878	0.466714
-13.535890	-4.292323	2.470490	0.002857	0.466977
-13.344029	-4.344128	2.480486	0.002822	0.467035
