     #Energy        Mo_s        Mo_p        Mo_d         O_s         O_p
   -60.23070     0.01824     0.00000     0.00000     0.00000     0.00000
   -60.20770     0.00925     0.00000     0.00000     0.00000     0.00000
   -60.18470     0.00457     0.00000     0.00000     0.00000     0.00000
   -60.16170     0.00221     0.00000     0.00000     0.00000     0.00000
   -60.13870     0.00104     0.00000     0.00000     0.00000     0.00000
   -60.11470     0.00048     0.00000     0.00000     0.00000     0.00000
   -60.09170     0.00021     0.00000     0.00000     0.00000     0.00000
   -60.06870     0.00009     0.00000     0.00000     0.00000     0.00000
   -60.04570     0.00004     0.00000     0.00000     0.00000     0.00000
   -60.02270     0.00002     0.00000     0.00000     0.00000     0.00000
   -59.99870     0.00001     0.00000     0.00000     0.00000     0.00000
   -59.97570     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.95270     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.92970     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.90670     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.88370     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.85970     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.83670     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.81370     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.79070     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.76770     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.74370     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.72070     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.69770     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.67470     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.65170     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.62770     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.60470     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.58170     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.55870     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.53570     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.51270     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.48870     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.46570     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.44270     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.41970     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.39670     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.37270     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.34970     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.32670     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.30370     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.28070     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.25770     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.23370     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.21070     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.18770     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.16470     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.14170     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.11770     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.09470     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.07170     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.04870     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.02570     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.00170     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.97870     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.95570     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.93270     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.90970     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.88670     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.86270     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.83970     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.81670     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.79370     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.77070     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.74670     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.72370     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.70070     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.67770     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.65470     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.63170     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.60770     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.58470     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.56170     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.53870     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.51570     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.49170     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.46870     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.44570     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.42270     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.39970     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.37570     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.35270     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.32970     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.30670     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.28370     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.26070     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.23670     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.21370     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.19070     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.16770     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.14470     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.12070     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.09770     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.07470     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.05170     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.02870     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.00470     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.98170     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.95870     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.93570     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.91270     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.88970     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.86570     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.84270     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.81970     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.79670     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.77370     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.74970     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.72670     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.70370     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.68070     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.65770     0.00000     0.00000     0.00000     0.00000     0.00000
